id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
1,2009-12-18,Avatar,425000000,760507625,Horror,tt1775309,93.0,26.526,2009,Friday,December,760.507625,425.0,335.507625,78.94297058823528,18,12
3,2019-06-07,Dark Phoenix,350000000,42762350,"Action,Adventure,Sci-Fi",tt6565702,113.0,,2019,Friday,June,42.76235,350.0,-307.2376500000001,-87.78218571428572,7,6
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,"Action,Adventure,Sci-Fi",tt2395427,141.0,44.383,2015,Friday,May,459.005868,330.6,128.405868,38.8402504537205,1,5
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,,,,,2017,Friday,December,620.181382,317.0,303.181382,95.64081451104099,15,12
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,,,,,2015,Friday,December,936.662225,306.0,630.662225,206.09876633986926,18,12
7,2018-04-27,Avengers: Infinity War,300000000,678815482,"Action,Adventure,Sci-Fi",tt4154756,149.0,80.773,2018,Friday,April,678.815482,300.0,378.815482,126.27182733333332,27,4
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,,,,,2007,Thursday,May,309.420425,300.0,9.420425000000025,3.1401416666666746,24,5
9,2017-11-17,Justice League,300000000,229024295,"Action,Adventure,Fantasy",tt0974015,120.0,34.953,2017,Friday,November,229.024295,300.0,-70.975705,-23.65856833333333,17,11
10,2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",tt2379713,148.0,30.318,2015,Friday,November,200.074175,300.0,-99.925825,-33.30860833333333,6,11
11,2012-07-20,The Dark Knight Rises,275000000,448139099,"Action,Thriller",tt1345836,164.0,26.22,2012,Friday,July,448.139099,275.0,173.139099,62.95967236363636,20,7
12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,"Action,Adventure,Fantasy",tt3778644,135.0,29.502,2018,Friday,May,213.767512,275.0,-61.23248799999999,-22.266359272727264,25,5
